publisher_name,genre,game_title,year,total_sales,genre_year_median,vs_median_ratio,entry_performance
Aqua Plus,Misc,Heartful Simulator Pachi-Slot: To Heart 2,2012,0.0100,0.0200,0.50,below median
Aqua Plus,Role-Playing,Dungeon Travelers 2: The Royal Library & The Monster Seal,2013,0.0800,0.0900,0.89,below median
Aqua Plus,Visual Novel,To Heart 2: Another Days,2009,0.0100,0.0100,1.00,above median
Aquaplus,Action,Utawarerumono Zan,2018,0.0300,0.0500,0.60,below median
Aquaplus,Role-Playing,Utawarerumono Portable,2009,0.0300,0.0750,0.40,weak entry
Aquaplus,Strategy,Tears To Tiara: Kakan No Daichi,2008,0.0800,0.0700,1.14,above median
Arc System Works,Action,Downtown Nekketsu Jidaigek,2015,0.0200,0.0600,0.33,weak entry
Arc System Works,Adventure,Tantei Jinguuji Saburo Ds: Kienai Kokoro,2008,0.0300,0.0400,0.75,below median
Arc System Works,Fighting,Blazblue: Continuum Shift Extend,2012,0.0100,0.1300,0.08,weak entry
Arc System Works,Misc,Phi Brain: Kizuna No Puzzle,2012,0.0100,0.0200,0.50,below median
Arc System Works,Role-Playing,Ranshima Monogatari Rare Land Story: Shoujo No Yakujou,2009,0.0000,0.0750,0.00,weak entry
Arc System Works,Shooter,Castle Of Shikigami Iii,2007,0.0100,0.1250,0.08,weak entry
Arc System Works,Visual Novel,Jake Hunter: Round Of Revenge,2012,0.0200,0.0250,0.80,below median
Arenanet,Role-Playing,Guild Wars 2 - Path Of Fire,2017,0.0100,0.0700,0.14,weak entry
Aria,Adventure,Yoake Yori Ruriiro Na: Brighter Than Dawning Blue,2006,0.0700,0.0400,1.75,above median
Aria,Visual Novel,Daitoshokan No Hitsujikai: Library Party,2018,0.0000,0.0100,0.00,weak entry
Arika,Shooter,Ketsui Death Label,2008,0.0200,0.1800,0.11,weak entry
Artifex Mundi Sp. Z O.O.,Puzzle,9 Clues 2: The Ward,2015,0.0000,0.0000,,strong breakout
Ascaron Entertainment,Simulation,The Train Giant,2012,0.0100,0.0850,0.12,weak entry
Ascii Media Works,Adventure,"Nogizaka Haruka No Himitsu Cosplay, Hajime Mashita",2008,0.0200,0.0400,0.50,below median
Ascii Media Works,Misc,Golden Time: Vivid Memories,2014,0.0100,0.0550,0.18,weak entry
Ascii Media Works,Role-Playing,Dengeki Gakuen Rpg: Cross Of Venus,2009,0.0500,0.0750,0.67,below median
Asgard,Action,Abunai: Koi No Sousa Shitsu,2015,0.0200,0.0600,0.33,weak entry
Asgard,Adventure,Starry * Sky: In Autumn - Psp Edition,2010,0.0300,0.0300,1.00,above median
Asgard,Misc,Unending Bloody Call,2012,0.0100,0.0200,0.50,below median
Asgard,Music,Megpoid The Music#,2013,0.0300,0.3350,0.09,weak entry
Asgard,Visual Novel,Starry * Sky: After Summer Portable,2013,0.0200,0.0200,1.00,above median
Asmik Ace Entertainment,Adventure,Tenshou Gakuen Gekkouroku,2006,0.0400,0.0400,1.00,above median
Aspyr,Adventure,Dreamfall: The Longest Journey,2006,0.0400,0.0400,1.00,above median
Aspyr,Misc,Guitar Hero Iii: Legends Of Rock,2007,0.0200,0.0900,0.22,weak entry
Aspyr,Racing,4x4 Hummer,2009,0.0000,0.1100,0.00,weak entry
Aspyr,Role-Playing,Fighting Fantasy: The Warlock Of Firetop Mountain,2009,0.0900,0.0750,1.20,above median
Aspyr,Shooter,Cryostasis: Sleep Of Reason,2009,0.0000,0.1300,0.00,weak entry
Aspyr,Simulation,Pony Luv,2008,0.0200,0.0800,0.25,weak entry
Aspyr,Strategy,Paraworld,2006,0.0200,0.0200,1.00,above median
Assemble Entertainment,Adventure,Leisure Suit Larry: Wet Dreams Don'T Dry,2018,0.0100,0.0300,0.33,weak entry
Astragon,Adventure,Dark Parables: The Little Mermaid And The Purple Tide,2016,0.0100,0.0300,0.33,weak entry
Asylum Entertainment,Adventure,Doctor Who: Return To Earth,2010,0.1800,0.0300,6.00,strong breakout
